SMILES1,SMILES2
c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C=CC(=O)C=C1
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1cc(C#N)c(C#N)cc1C#N
c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C(F)=C(F)C(=O)C(F)=C1F
c1cc2ccc3cccc4ccc(c1)c2c34,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
c1cc2ccc3cccc4ccc(c1)c2c34,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1c(O)c(C#N)c(C#N)c(O)c1C#N
c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1c(Cl)c(Cl)c(C#N)c(Cl)c1Cl
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,N#Cc1cc(C#N)c(C#N)cc1C#N
C(#Cc1ccccc1)c1ccccc1,N#Cc1cc(C#N)c(C#N)cc1C#N
c1ccc(-c2ccncc2)cc1,O=C(O)c1ccc(O)cc1
c1ccc(-c2ccncc2)cc1,N#Cc1cccc(O)c1
c1ccc(-c2ccncc2)cc1,Nc1ccccc1C(=O)O
c1ccc(N=Nc2ccccc2)cc1,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
c1ccc(-c2ccccn2)nc1,NC(N)=O
c1ccc(-c2ccccn2)nc1,O=C(O)C1CC(C(=O)O)C(C(=O)O)C1C(=O)O
c1ccc(-c2ccccn2)nc1,Nc1ccc(C(=O)O)cc1
c1ccc(-c2ccccn2)nc1,Nc1cc([N+](=O)[O-])ccc1C(=O)O
c1ccc(-c2ccccn2)nc1,O=C(O)C=CC(=O)O
c1ccc(-c2ccccn2)nc1,O=C(O)CCC(=O)O
c1ccc(-c2ccccn2)nc1,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
c1ccc(-c2ccccn2)nc1,Oc1c(O)c(O)c(O)c(O)c1O
c1ccc(-c2n[nH]c(-c3ccccn3)n2)nc1,Oc1ccc(O)cc1
c1ccc(-c2nc[nH]n2)nc1,Oc1ccc(O)cc1
c1ccc(-c2nccnc2-c2ccccn2)nc1,O=C1C(O)=C(F)C(=O)C(O)=C1F
c1ccc2[nH]c(-c3ccncc3)nc2c1,O=C(O)CCCC(=O)O
c1ccc2[nH]c(-c3ccncc3)nc2c1,O=C(O)c1ccc(C(=O)O)cc1
c1ccc2[nH]cnc2c1,O=C(O)CCC(=O)O
c1ccc2[nH]cnc2c1,O=C(O)c1cccc(C(=O)O)c1
c1ccc2[nH]cnc2c1,O=C(O)CC(=O)O
c1ccc2c(c1)[nH]c1c3ccccc3sc21,N#CC(C#N)=C(C#N)C#N
c1ccc2c(c1)[nH]c1ccccc12,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
c1ccc2c(c1)[nH]c1ccccc12,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1
c1ccc2c(c1)C(=C1c3ccccc3-c3ccccc31)c1ccccc1-2,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1ccc2c(c1)ccc1c3ccccc3ccc21,O=C1C(F)=C(F)C(=O)C(F)=C1F
c1ccc2c(c1)ccc1c3ccccc3ccc21,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1ccc2c(c1)ccc1c3ccccc3ccc21,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
c1ccc2c(c1)ccc1c3ccccc3ccc21,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
c1ccc2c(c1)ccc1ccc3ccccc3c12,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O
c1ccc2c(c1)cnc1ccccc12,O=C(O)CCC(=O)O
c1ccc2c(c1)cnc1ccccc12,O=C(O)C=CC(=O)O
c1ccc2c(c1)cnc1ccccc12,O=C(O)c1cccc(C(=O)O)c1
c1ccc2c(c1)c1ccccc1c1ccccc21,O=C1C(F)=C(F)C(=O)C(F)=C1F
c1ccc2c(c1)c1ccccc1c1ccccc21,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
c1ccc2cc3cc4ccccc4cc3cc2c1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1ccc2cc3ccccc3cc2c1,N#Cc1cc(C#N)c(C#N)cc1C#N
c1ccc2ccccc2c1,Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
c1ccc2ccccc2c1,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
c1ccc2ccccc2c1,N#Cc1c(Cl)cc(C(=O)O)cc1Cl
c1ccc2ccccc2c1,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
c1ccc2ccccc2c1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1ccc2nc3ccccc3cc2c1,O=C(O)C=CC(=O)O
c1ccc2nc3ccccc3cc2c1,O=C(O)c1ccc(C(=O)O)cc1
c1ccc2nc3ccccc3cc2c1,O=C(O)c1ccc(Cl)s1
c1ccc2nc3ccccc3nc2c1,O=C(O)C1CCC(C(=O)O)CC1
c1ccc2nc3ccccc3nc2c1,COc1cc(C=O)ccc1O
c1ccc2nc3ccccc3nc2c1,O=C1C(O)=C(F)C(=O)C(O)=C1F
c1ccc2nc3ccccc3nc2c1,O=C(O)C=CC(=O)O
c1ccc2nc3ccccc3nc2c1,CC(=CC(=O)O)C(=O)O
c1ccc2nc3ccccc3nc2c1,O=C(O)CCC(=O)O
c1ccc2nc3ccccc3nc2c1,O=C(O)CCCC(=O)O
c1ccc2nc3ccccc3nc2c1,O=C(O)C(O)=C(O)C(=O)O
c1ccc2nc3ccccc3nc2c1,O=C(O)C(=O)O
c1ccc2nc3ccccc3nc2c1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
c1ccc2nc3ccccc3nc2c1,O=C(O)CC(=O)O
c1ccc2nccnc2c1,Cc1cc(O)cc(O)c1
c1ccc2nccnc2c1,O=C(O)C=CC(=O)O
c1ccc2nccnc2c1,O=C(O)C(O)O
c1ccc2ncncc2c1,OC(c1ccccc1)C(O)c1ccccc1
c1cn(-c2ccc(-c3cncnc3)cc2)cn1,O=C(O)c1cccc(C(=O)O)c1
c1cn(-c2ccc(-n3ccnc3)cc2)cn1,O=C(O)c1ccc(C(=O)O)cc1
c1cn(-c2cncnc2)cn1,Oc1ccc(O)cc1
C1CN2CN3CCN(CN1C3)C2,Oc1ccc(O)cc1
c1cnc2c(c1)ccc1cccnc12,NC(N)=O
c1cnc2c(c1)ccc1cccnc12,OCc1ccccc1O
c1cnc2ccc3ncc4cccn4c3c2c1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1cnc2ccc3ncccc3c2c1,O=C(O)c1ccc(C(=O)O)cc1
c1cncc(N=Nc2cccnc2)c1,O=C(O)CCC(=O)O
c1cncc(N=Nc2cccnc2)c1,O=C(O)CCCCCCC(=O)O
C1COC2=C(O1)SC(=C1SC3=C(SCCS3)S1)S2,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
c1c2c(cc3c1SC(=C1Sc4cc5c(cc4S1)OCCO5)S3)OCCO2,Cc1cc(=C(C#N)C#N)c(C)cc1=C(C#N)C#N
c1c2c(cc3c1SC(=C1Sc4cc5c(cc4S1)OCCO5)S3)OCCO2,COc1cc(=C(C#N)C#N)c(OC)cc1=C(C#N)C#N
C1CSC2=C(S1)SC(=C1SC3=C(SCCS3)S1)S2,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1
C1CSC2=C(S1)SC(=C1SC3=C(SCCS3)S1)S2,N#CC(C#N)=c1cc2sc(=C(C#N)C#N)cc2s1
C1N2CN3CN1CN(C2)C3,Oc1ccccc1O
C1N2CN3CN1CN(C2)C3,NC(=S)C(N)=S
C1N2CN3CN1CN(C2)C3,Cc1cc(O)cc(O)c1
C1N2CN3CN1CN(C2)C3,O=C(O)c1ccc(O)cc1
C1N2CN3CN1CN(C2)C3,O=C(O)Cc1ccccc1
C1N2CN3CN1CN(C2)C3,Oc1cc(O)cc(O)c1
C1SC2=C(S1)SC(=C1SC3=C(SCS3)S1)S2,N#Cc1cc(C#N)c(C#N)cc1C#N
CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,C[N+](C)(C)CC(=O)O
CC(C)=Nc1ccc(N=C(C)C)cc1,Oc1ccc(O)cc1
CC(C)=NNC(=O)c1ccncc1,O=C(O)CCC(=O)O
CC(C)=NNC(=O)c1ccncc1,O=C(O)c1ccc(O)cc1
CC(=NO)c1ccccc1,O=C(O)c1ccccc1
CC(=O)C(C)=NNc1ccccc1,N#CC(C#N)=C(C#N)C#N
CC(=O)C=C(C)Nc1ccc(C#N)cc1,N#Cc1ccc(N)cc1
CC(=O)c1c(O)cc(O)cc1O,Nc1cc([N+](=O)[O-])ccc1O
CC(=O)c1cc(Cl)cc([N+](=O)[O-])c1O,Nc1ccccc1C(=O)O
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Oc1ccc2ccccc2c1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Oc1ccc(Br)cc1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Oc1ccc(I)cc1
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Oc1c(Cl)cc(Cl)cc1Cl
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Oc1ccc(Br)cc1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Oc1cc2ccccc2c2ccccc12
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Oc1ccc2ccc(O)cc2c1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,O=C(O)c1cc(O)ccc1O
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Oc1cccc(O)c1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Oc1ccc2ccc3cccc4ccc1c2c34
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,c1ccc2c(c1)ccc1ccccc12
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,c1cc2ccc3cccc4ccc(c1)c2c34
CC(=O)c1cccc(C(C)=O)n1,Oc1cccc(O)c1
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,O=C(O)C=CC(=O)O
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,O=C(O)CCC(=O)O
